#incident_id,date,n_killed,n_injured,latitude,longitude,guns_involved,district,0,0
461105,1,1,13,0,4,40.3467,-79.8559,0,0
460726,1,1,13,1,3,33.909,-118.333,0,62
478855,1,1,13,1,3,41.4455,-82.1377,2,56
478925,1,5,13,4,0,39.6518,-104.802,0,40
478959,1,7,13,2,2,36.114,-79.9569,2,62
478948,1,7,13,4,0,36.2405,-95.9768,0,72
479363,1,19,13,5,0,34.9791,-106.716,2,10
479374,1,21,13,0,5,29.9435,-90.0836,0,93
479389,1,21,13,0,4,37.9656,-121.718,0,11
492151,1,23,13,1,6,39.2899,-76.6412,0,0
491674,1,23,13,1,3,35.0221,-85.2697,1,28
479413,1,25,13,1,3,38.7067,-90.2494,1,76
479561,1,26,13,2,3,29.8816,-91.5251,1,50
479554,1,26,13,0,5,38.8978,-76.9717,1,0
479460,1,26,13,1,3,39.9252,-83.8218,0,79
479573,2,2,13,0,5,35.0803,-89.8871,1,84
479580,2,3,13,1,3,39.1236,-121.583,1,3
479592,2,7,13,0,4,41.7592,-87.5628,0,25
479603,2,9,13,0,4,29.9563,-90.0676,1,93
480311,2,11,13,1,4,38.1072,-122.228,0,14
480327,2,11,13,3,2,39.7407,-75.5499,1,2
480344,2,12,13,4,1,40.6008,-111.903,0,44
480358,2,19,13,4,3,33.8031,-117.943,1,72
480383,2,21,13,1,3,36.1722,-95.8778,0,77
480401,2,22,13,0,4,42.9371,-85.6853,0,76
480407,2,23,13,0,4,34.6666,-118.131,0,36
480443,2,24,13,0,8,32.826,-83.6704,0,142
481186,3,2,13,1,3,32.442,-93.7726,0,3
481198,3,3,13,2,2,31.1824,-83.7912,1,172
481208,3,3,13,0,4,43.3944,-83.9082,0,95
481213,3,4,13,1,3,37.0857,-120.828,1,21
481220,3,5,13,1,3,39.7927,-86.0328,0,100
481229,3,7,13,2,2,32.2649,-90.2141,1,71
481237,3,10,13,0,5,38.955,-94.5211,1,27
482771,3,11,13,0,13,38.9062,-77.0099,4,0
482801,3,13,13,2,2,33.2498,-117.309,0,76
482856,3,13,13,6,2,43.011,-75.0058,1,101
482838,3,14,13,0,4,37.626,-121.011,0,21
482926,3,16,13,0,7,38.2436,-121.312,0,9
482934,3,17,13,2,3,37.9531,-121.266,0,13
482942,3,17,13,0,5,26.6968,-80.6837,0,81
483737,3,21,13,0,7,41.7358,-87.6631,0,35
483765,3,21,13,1,3,39.0383,-94.5849,1,25
483788,3,22,13,1,3,40.5803,-74.0005,0,46
483835,3,30,13,3,2,37.3603,-120.654,0,21
483817,3,31,13,3,2,47.3149,-122.224,0,47
483861,4,6,13,1,4,34.1868,-82.1638,0,12
483872,4,7,13,1,3,40.9018,-73.8511,0,81
483878,4,7,13,1,3,33.8479,-118.19,0,63
484268,4,9,13,1,3,39.9924,-75.13,0,0
484279,4,10,13,0,4,38.1519,-122.261,0,14
484307,4,14,13,2,4,33.5985,-112.113,0,28
